Designator,Type,Value/Description,Qty,Vendor,Part Number,Alternative Part Number,Frequently used,Notes 
,Resistor,1.4K,1,Mouser,603-MFR-25FBF52-1K4,,,
,Resistor,100K,1,Mouser,603-MFR-25FBF52-100K,,*,
,Resistor,10K,2,Mouser,603-MFR-25FBF52-10K,,*,
,Resistor,12K,1,Mouser,603-MFR-25FBF52-12K,,,
,Resistor,1K,9,Mouser,603-MFR-25FBF52-1K,,*,
,Resistor,1K5,6,Mouser,603-MFR-25FBF52-1K5,,,
,Resistor,1M,3,Mouser,603-MFR-25FBF52-1M,,,
,Resistor,2.49K,1,Mouser,603-MFR-25FBF52-2K49,,,
,Resistor,2K,2,Mouser,603-MFR-25FBF52-2K,,,
,Resistor,4.7K,1,Mouser,603-MFR-25FBF52-4K7,,,
,Resistor,4.99K,3,Mouser,603-MFR-25FBF52-4K99,,,
,Resistor,499R,10,Mouser,603-MFR-25FBF52-499R,,*,
,Resistor,51K,2,Mouser,603-MFR-25FBF52-51K,,,
,IC,LM6172,4,Mouser,926-LM6172IN/NOPB,,*,
,IC,TL072,1,Mouser,595-TL072IP,,*,
,IC,LT1251,3,Mouser,584-LT1251CN#PBF,,,
,MLCC Capacitor,100n,16,Mouser,594-K104K15X7RF53K2,,*,
,Socket,PJ302M,4,Thonk,PJ302M,,*,
,Stackable Header,Stackable Header 6x1,1,Mouser,200-SSQ10404TS,474-PRT-09280,,
,Stackable Header,Stackable Header 4x1,1,Mouser,200-SSQ10604TS,474-PRT-09280,,
,Voltage Reg IC,TL431,1,Mouser,511-TL431CZT,,*,
,Switch,3PDT,1,Mouser,108-0006-EVX or 7303SYZQE,,,
,Electro Capacitor,10uF,2,Mouser,80-ESL106M050AC3AA,,*,
,Knobs,Davies 1900H,2,Thonk,1900H,,*,T18 or rounded shaft to match Pots 
,Potentiometer,10K Linear,2,Thonk,Alpha 9mm VERTICAL,,*,T18 or rounded shaft to match Knobs 
,PCB,RGB Matrix Keyer,1,Visible Signals,MM-SP,,,
,Panel,RGB Matrix Keyer,1,Visible Signals,MM-SP,,,
